SlNo,Name,CustID,Number of Credit Cards,Age,Gender,MaritalStatus,AnnualSalary,MonthlyCCUsage
1567,Branden,585443,4,44,F,Never Married,"4,24,801",High(<75%)
1568,Danielle,586348,6,56,F,Married,"6,81,054",High(<75%)
1569,Darion,586591,7,35,F,Divorced,"8,48,152",High(<75%)
1570,Darnell,587032,7,58,M,Divorced,"8,96,006",High(<75%)
1571,Julian,587198,5,18,F,Married,"4,38,717",High(<75%)
1572,Conrad,587288,7,30,F,Married,"8,83,088",High(<75%)
1573,Giselle,587473,5,21,F,Married,"2,43,203",High(<75%)
1574,Giancarlo,587740,5,26,M,Married,"5,83,606",High(<75%)
1575,Bo,588314,3,29,M,Married,"4,17,966",High(<75%)
1576,Josephine,588355,4,28,M,Married,"8,12,966",High(<75%)
1577,Ellie,588776,3,38,F,Married,"6,83,041",High(<75%)
1578,Gavin,589146,4,32,F,Never Married,"9,09,908",High(<75%)
1579,Johanna,589294,2,46,F,Never Married,"5,87,504",High(<75%)
1580,Brielle,589522,4,30,M,Divorced,"4,00,222",High(<75%)
1581,Barbara,589601,8,47,M,Divorced,"63,440",High(<75%)
1582,Cortez,589805,5,33,M,Divorced,"3,67,361",High(<75%)
1583,Gia,589858,6,26,M,Divorced,"2,63,695",High(<75%)
1584,Charity,590171,3,34,M,Married,"5,30,561",High(<75%)
1585,Brian,590720,5,24,M,Never Married,"9,74,704",High(<75%)
1586,Carrie,590922,4,35,M,Married,"9,74,925",High(<75%)
1587,Alexander,591295,9,18,M,Married,"5,36,150",High(<75%)
1588,Edwin,591918,7,43,M,Married,"8,88,879",High(<75%)
1589,Brianna,591924,9,66,F,Divorced,"3,11,127",High(<75%)
1590,Breana,592076,6,32,M,Married,"8,69,181",High(<75%)
1591,Hana,592326,4,30,M,Married,"2,89,990",High(<75%)
1592,Brynn,592403,2,31,M,Never Married,"5,78,407",High(<75%)
1593,Deven,593105,6,25,F,Never Married,"6,58,510",High(<75%)
1594,Armando,593309,4,33,M,Married,"2,30,459",High(<75%)
1595,Gilbert,593439,5,21,M,Married,"9,70,544",High(<75%)
1596,Bennett,593556,6,27,M,Never Married,"8,40,423",High(<75%)
1597,Jordan,593691,5,22,F,Married,"3,48,515",High(<75%)
1598,Alisha,593714,1,31,F,Married,"76,148",High(<75%)
1599,Easton,593782,5,25,M,Never Married,"3,98,665",High(<75%)
1600,Jovani,593808,7,59,M,Married,"4,77,378",High(<75%)
1601,Damaris,594178,6,68,M,Married,"9,01,971",High(<75%)
1602,Joelle,594278,10,38,F,Never Married,"4,01,752",High(<75%)
1603,Brennan,594326,2,26,M,Never Married,"2,52,767",High(<75%)
1604,Elle,594709,6,57,M,Never Married,"5,40,335",High(<75%)
1605,Jon,594723,5,38,M,Married,"5,98,076",High(<75%)
1606,Edwin,595023,9,41,M,Divorced,"3,51,891",High(<75%)
1607,Angel,595507,2,38,F,Married,"8,91,673",High(<75%)
1608,Carter,596033,4,62,F,Married,"6,04,469",High(<75%)
1609,Christina,596168,1,38,M,Never Married,"5,58,562",High(<75%)
1610,Emma,596307,5,20,M,Married,"2,77,552",High(<75%)
1611,Colleen,596794,2,68,F,Divorced,"6,04,466",High(<75%)
1612,Braulio,596807,8,36,M,Never Married,"4,10,850",High(<75%)
1613,Edgardo,597641,4,56,M,Never Married,"9,95,186",High(<75%)
1614,Collin,597700,2,66,M,Married,"3,40,465",High(<75%)
1615,Janae,597791,3,43,M,Divorced,"4,15,028",High(<75%)
1616,Abril,598389,5,35,M,Married,"1,63,201",High(<75%)
1617,Jaydon,598613,4,39,M,Divorced,"4,99,603",High(<75%)
1618,Colten,598906,5,39,F,Married,"1,30,643",High(<75%)
1619,Edgar,598981,4,20,M,Never Married,"7,35,401",High(<75%)
1620,Itzel,599007,3,43,M,Never Married,"3,20,264",High(<75%)
1621,Aden,599394,6,69,M,Divorced,"9,77,079",High(<75%)
1622,Christine,599460,6,50,M,Married,"2,24,686",High(<75%)
1623,Cristopher,599528,2,46,M,Never Married,"5,37,124",High(<75%)
1624,Alia,600301,4,70,M,Divorced,"6,18,406",High(<75%)
1625,Cale,600394,3,69,F,Married,"5,94,669",High(<75%)
1626,Devyn,600491,4,50,F,Never Married,"3,50,161",High(<75%)
1627,Ingrid,600498,4,50,F,Married,"4,08,288",High(<75%)
1628,Donna,600553,4,50,M,Married,"2,09,059",High(<75%)
1629,Braulio,601609,4,34,M,Married,"4,49,116",High(<75%)
1630,Bruno,601763,4,60,M,Never Married,"3,92,418",High(<75%)
1631,Callie,602081,4,40,M,Never Married,"7,86,159",High(<75%)
1632,Jordy,602325,4,62,F,Married,"1,74,449",High(<75%)
1633,Jaquelin,602554,5,36,M,Married,"8,40,919",High(<75%)
1634,Cheyanne,602565,3,44,F,Never Married,"3,21,918",High(<75%)
1635,Alijah,602709,4,34,F,Divorced,"5,19,977",High(<75%)
1636,Emanuel,602895,5,57,F,Never Married,"8,81,896",High(<75%)
1637,Jamar,603071,4,43,M,Never Married,"8,10,844",High(<75%)
1638,Alexandrea,603583,8,19,M,Married,"1,42,024",High(<75%)
1639,Blaise,604196,9,49,F,Married,"1,80,113",High(<75%)
1640,Isabella,605501,2,51,M,Never Married,"3,30,786",High(<75%)
1641,Desmond,605769,4,20,M,Married,"4,64,064",High(<75%)
1642,Hayden,605811,4,22,F,Married,"7,71,381",High(<75%)
1643,Greta,605943,4,59,M,Married,"3,15,482",High(<75%)
1644,Baylee,605972,7,68,M,Married,"6,90,669",High(<75%)
1645,Justus,605996,7,26,F,Never Married,"5,10,321",High(<75%)
1646,Jaqueline,606059,7,49,M,Married,"3,79,417",High(<75%)
1647,Citlali,606136,4,37,F,Married,"2,81,086",High(<75%)
1648,Dwight,606610,4,41,F,Married,"8,82,777",High(<75%)
1649,Greta,606728,3,69,M,Married,"5,02,665",High(<75%)
1650,Ezequiel,606862,3,69,M,Never Married,"6,70,636",High(<75%)
1651,Judah,607044,4,46,M,Married,"3,59,858",High(<75%)
1652,Dana,607300,5,56,M,Never Married,"7,35,986",High(<75%)
1653,Brenna,607590,3,23,F,Divorced,"6,26,273",High(<75%)
1654,Alessandro,607686,5,38,F,Married,"5,35,392",High(<75%)
1655,Brent,608262,1,46,M,Married,"4,61,375",High(<75%)
1656,Emilie,608319,2,54,M,Married,"1,30,421",High(<75%)
1657,Jair,609659,4,57,M,Married,"5,24,093",High(<75%)
1658,Candace,610541,6,42,M,Married,"9,91,770",High(<75%)
1659,Dandre,610544,4,69,F,Never Married,"8,50,124",High(<75%)
1660,Darlene,610656,7,66,F,Divorced,"6,60,855",High(<75%)
1661,Jorden,611206,3,39,M,Married,"73,728",High(<75%)
1662,Jaren,611213,4,18,M,Married,"1,82,354",High(<75%)
1663,Judith,611659,4,38,M,Never Married,"4,50,162",High(<75%)
1664,Deborah,611775,2,46,F,Never Married,"9,97,229",High(<75%)
1665,Julia,611994,4,26,M,Married,"7,99,781",High(<75%)
1666,Andrew,612410,9,25,M,Married,"7,20,805",High(<75%)
1667,Hadley,612918,9,39,M,Married,"6,84,605",High(<75%)
1668,Jadon,612959,7,36,M,Never Married,"1,05,259",High(<75%)
1669,Chloe,613284,3,26,M,Never Married,"5,90,152",High(<75%)
1670,Jimmy,613382,8,63,M,Divorced,"1,81,528",High(<75%)
1671,Julia,613412,4,65,M,Never Married,"6,48,302",High(<75%)
1672,Elaina,613757,3,31,F,Married,"2,87,922",High(<75%)
1673,Arjun,614008,5,50,F,Married,"6,73,524",High(<75%)
1674,Armani,614316,5,26,F,Divorced,"7,28,416",High(<75%)
1675,Gideon,614574,8,46,M,Never Married,"99,505",High(<75%)
1676,Douglas,614682,6,36,M,Divorced,"6,74,503",High(<75%)
1677,Francisco,614995,4,26,M,Divorced,"5,20,195",High(<75%)
1678,Jeffrey,615017,8,33,M,Married,"9,83,023",High(<75%)
1679,Josh,615019,2,63,F,Married,"55,989",High(<75%)
1680,Jaylon,615601,4,36,M,Married,"9,15,153",High(<75%)
1681,Jalynn,615617,4,33,M,Married,"1,14,388",High(<75%)
1682,Jovan,616035,1,37,F,Married,"4,99,205",High(<75%)
1683,Elvin,616670,7,44,F,Married,"5,84,329",High(<75%)
1684,Dominick,616761,4,57,M,Never Married,"4,10,623",High(<75%)
1685,Elijah,617490,3,46,M,Married,"62,969",High(<75%)
1686,Elizabeth,617926,4,56,M,Married,"2,20,139",High(<75%)
1687,Corey,618621,5,60,F,Never Married,"1,64,026",High(<75%)
1688,Alex,618798,2,46,M,Never Married,"87,371",High(<75%)
1689,Abdullah,618904,4,36,M,Married,"9,29,352",High(<75%)
1690,Derrick,618938,1,31,M,Never Married,"7,66,905",High(<75%)
1691,Abdullah,619246,5,48,M,Married,"2,34,872",High(<75%)
1692,Jasmyn,619512,4,36,M,Divorced,"4,49,866",High(<75%)
1693,Jabari,619615,2,52,F,Married,"3,76,200",High(<75%)
1694,Eliezer,620742,10,37,M,Never Married,"2,11,210",High(<75%)
1695,Izaiah,621210,4,33,M,Married,"2,58,810",High(<75%)
1696,Dashawn,621238,9,59,F,Married,"8,66,613",High(<75%)
1697,Brianna,621992,5,60,M,Never Married,"7,69,189",High(<75%)
1698,Destinee,621999,3,26,M,Never Married,"9,08,292",High(<75%)
1699,Hana,622467,4,37,F,Married,"4,66,203",High(<75%)
1700,Alexandre,622635,8,51,M,Divorced,"8,57,875",High(<75%)
1701,Chelsey,622638,6,19,M,Married,"6,29,095",High(<75%)
1702,Alan,622654,4,48,M,Divorced,"7,10,649",High(<75%)
1703,Eugene,622972,2,53,M,Divorced,"6,35,990",High(<75%)
1704,Cameron,623609,5,43,M,Never Married,"7,98,686",High(<75%)
1705,Cortez,623737,8,33,F,Married,"5,93,261",High(<75%)
1706,Brittany,623995,5,19,M,Divorced,"4,98,365",High(<75%)
1707,Israel,624616,6,36,M,Divorced,"2,89,319",High(<75%)
1708,Albert,624633,8,21,M,Never Married,"6,18,182",High(<75%)
1709,Dandre,624936,9,25,F,Married,"7,48,992",High(<75%)
1710,Domenic ,624989,5,23,F,Married,"57,062",High(<75%)
1711,Jaheem,625126,5,42,M,Married,"3,60,995",High(<75%)
1712,Cassidy,625135,6,53,F,Married,"9,75,877",High(<75%)
1713,Carson,625289,7,58,M,Never Married,"1,39,179",High(<75%)
1714,Jasmin,625521,8,44,M,Married,"2,37,153",High(<75%)
1715,Gwendolyn,625637,5,22,F,Married,"4,50,598",High(<75%)
1716,Brayan,625871,3,50,M,Never Married,"6,64,360",High(<75%)
1717,Jayda,626865,2,70,M,Never Married,"1,86,018",High(<75%)
1718,Blaze,627647,5,18,F,Never Married,"8,46,879",High(<75%)
1719,Charlie,627833,3,30,M,Married,"9,30,650",High(<75%)
1720,Braedon,627854,4,26,M,Never Married,"6,80,393",High(<75%)
1721,Cadence,627932,4,57,F,Married,"3,09,957",High(<75%)
1722,Drake,627999,4,60,M,Divorced,"6,67,518",High(<75%)
1723,Abby,628355,5,58,M,Divorced,"7,13,557",High(<75%)
1724,Bryce,628520,5,34,F,Married,"8,44,680",High(<75%)
1725,Ariel,628930,5,70,F,Married,"3,05,186",High(<75%)
1726,Emely,629539,4,47,M,Married,"3,68,251",High(<75%)
1727,Alonso,630045,3,27,F,Divorced,"8,62,864",High(<75%)
1728,Eliana,630179,3,24,M,Married,"91,288",High(<75%)
1729,Isaak,630404,7,26,M,Never Married,"3,23,558",High(<75%)
1730,Garrison,630931,4,59,M,Never Married,"2,46,899",High(<75%)
1731,Antwan,630957,5,25,F,Married,"5,00,387",High(<75%)
1732,Eliza,630963,8,67,M,Married,"76,308",High(<75%)
1733,Jacob,631470,1,32,F,Married,"7,05,175",High(<75%)
1734,Corinne,632252,6,47,M,Married,"6,09,355",High(<75%)
1735,Camille,632336,2,47,M,Married,"2,26,060",High(<75%)
1736,Juliana,632420,8,33,F,Married,"69,642",High(<75%)
1737,Giselle,632794,5,36,M,Married,"1,22,889",High(<75%)
1738,Jaime,632852,4,22,M,Married,"2,55,261",High(<75%)
1739,Donovan,632929,2,46,M,Never Married,"5,16,779",High(<75%)
1740,Casey,633005,5,52,M,Married,"3,34,209",High(<75%)
1741,Jaylen,634011,3,44,M,Never Married,"1,60,895",High(<75%)
1742,Celeste,634301,6,52,M,Married,"50,859",High(<75%)
1743,Devin,634507,1,58,M,Never Married,"78,233",High(<75%)
1744,Christine,634554,1,50,F,Married,"9,49,166",High(<75%)
1745,Darryl,634869,3,36,F,Married,"8,10,482",High(<75%)
1746,Bailee,635311,3,63,M,Divorced,"9,77,243",High(<75%)
1747,Julianna,635586,4,41,M,Never Married,"8,28,257",High(<75%)
1748,Jagger,635758,4,21,F,Never Married,"1,14,186",High(<75%)
1749,Cedric,635975,2,45,F,Divorced,"1,90,045",High(<75%)
1750,Brooke,636631,5,68,F,Married,"7,35,048",High(<75%)
1751,Jonatan,636916,2,65,F,Married,"1,14,392",High(<75%)
1752,Bennett,637195,1,46,F,Married,"6,69,571",High(<75%)
1753,Blanca,637391,5,50,F,Married,"7,78,613",High(<75%)
1754,Gwendolyn,637967,7,27,M,Divorced,"7,04,926",High(<75%)
1755,Clay,638212,8,66,M,Never Married,"1,29,331",High(<75%)
1756,Jaylin,638224,8,22,F,Married,"7,85,735",High(<75%)
1757,Holly,638300,4,20,F,Never Married,"63,022",High(<75%)
1758,Camila,638351,2,47,M,Married,"4,90,908",High(<75%)
1759,Bryanna,638530,4,54,M,Divorced,"5,07,952",High(<75%)
1760,Cristobal,638944,2,23,M,Never Married,"7,19,137",High(<75%)
1761,Jewel,639023,4,65,F,Divorced,"9,57,946",High(<75%)
1762,Cameron,639709,5,44,F,Never Married,"63,653",High(<75%)
1763,Giovanna,639942,3,55,F,Never Married,"8,14,155",High(<75%)
1764,Gracie,640005,2,46,M,Divorced,"6,99,674",High(<75%)
1765,Brenden,640264,3,27,M,Married,"3,77,430",High(<75%)
1766,Brad,640280,10,38,M,Never Married,"8,99,685",High(<75%)
1767,Eve,640464,1,46,M,Never Married,"8,56,687",High(<75%)
1768,Jordyn,641472,4,44,M,Divorced,"4,33,270",High(<75%)
1769,Judah,641630,7,53,M,Never Married,"2,22,562",High(<75%)
1770,Aleah,642009,8,24,M,Married,"3,18,272",High(<75%)
1771,Andy,642126,4,50,M,Married,"8,03,198",High(<75%)
1772,Gabrielle,642285,3,69,M,Married,"9,12,470",High(<75%)
1773,Brooks,642401,6,55,F,Married,"5,09,310",High(<75%)
1774,Domenic ,643021,7,70,M,Divorced,"3,63,710",High(<75%)
1775,Carlos,643200,7,51,F,Married,"6,51,613",High(<75%)
1776,Aaron,643602,4,36,M,Never Married,"9,12,679",High(<75%)
1777,Bella,643765,4,27,F,Married,"1,71,168",High(<75%)
1778,Brian,644099,3,40,M,Married,"4,90,319",High(<75%)
1779,Janessa,645087,2,32,F,Married,"2,99,339",High(<75%)
1780,Adan,645691,4,55,M,Married,"74,416",High(<75%)
1781,Dylan,646512,3,54,M,Never Married,"1,56,892",High(<75%)
1782,Charles,646994,4,37,F,Married,"3,44,011",High(<75%)
1783,Chris,647112,9,22,F,Divorced,"7,43,007",High(<75%)
1784,Hugh,647398,4,37,M,Married,"5,93,443",High(<75%)
1785,Jeremiah,647505,10,65,M,Married,"2,55,386",High(<75%)
1786,Isis,647676,6,68,M,Never Married,"7,41,369",High(<75%)
1787,Jarvis,647675,1,24,M,Married,"7,66,738",High(<75%)
1788,Jerome,647781,4,23,F,Never Married,"1,81,365",High(<75%)
1789,Grant,647823,3,63,F,Never Married,"4,87,890",High(<75%)
1790,Abigale,647938,3,45,F,Never Married,"8,63,774",High(<75%)
1791,Hadley,648278,2,35,M,Never Married,"9,28,805",High(<75%)
1792,Brooklyn,648314,5,48,M,Married,"3,02,658",High(<75%)
1793,Brielle,649241,6,44,M,Never Married,"3,78,789",High(<75%)
1794,Emiliano,649569,1,55,M,Divorced,"7,64,636",High(<75%)
1795,Amarion,650182,4,43,M,Married,"6,77,497",High(<75%)
1796,Jovany,650246,6,32,M,Never Married,"8,49,913",High(<75%)
1797,Jeanette,650278,2,39,F,Married,"7,20,971",High(<75%)
1798,Elvis,650307,2,40,M,Divorced,"2,51,677",High(<75%)
1799,Jaylen,650721,5,30,M,Married,"3,20,143",High(<75%)
1800,Janet,650789,2,27,M,Married,"8,52,604",High(<75%)
1801,Chaim,651235,4,34,M,Never Married,"2,44,578",High(<75%)
1802,Helena,651382,5,43,M,Married,"2,86,646",High(<75%)
1803,Elaine,651458,3,40,M,Never Married,"2,37,929",High(<75%)
1804,Jane,652133,3,28,F,Married,"8,35,453",High(<75%)
1805,Elisha,652448,7,50,M,Divorced,"4,97,106",High(<75%)
1806,Frederick,652577,7,23,M,Never Married,"2,34,582",High(<75%)
1807,Ezekiel,653144,3,36,M,Married,"4,34,367",High(<75%)
1808,Jude,653764,4,24,M,Never Married,"2,50,462",High(<75%)
1809,Carol,653960,2,51,M,Never Married,"96,945",High(<75%)
1810,Alexia,654128,6,66,M,Married,"75,763",High(<75%)
1811,Dalia,654176,2,53,F,Never Married,"2,72,499",High(<75%)
1812,Eleanor,654349,2,23,F,Married,"1,97,714",High(<75%)
1813,Elisa,654500,4,31,M,Married,"6,99,267",High(<75%)
1814,Adeline,654583,6,22,M,Married,"9,24,964",High(<75%)
1815,Alexa,654592,4,67,M,Married,"8,75,606",High(<75%)
1816,Alina,654743,8,55,F,Divorced,"8,48,332",High(<75%)
1817,Josie,654883,5,43,F,Married,"5,27,784",High(<75%)
1818,Caitlyn,655029,7,34,F,Married,"64,584",High(<75%)
1819,Isabell,655302,5,36,M,Never Married,"4,43,305",High(<75%)
1820,Dennis,655654,3,31,F,Married,"8,58,026",High(<75%)
1821,Desiree,655660,5,35,M,Never Married,"3,33,058",High(<75%)
1822,Jailyn,655756,2,47,M,Married,"2,31,527",High(<75%)
1823,Damaris,656051,2,52,M,Married,"2,48,292",High(<75%)
1824,Jameson,656087,3,43,M,Married,"7,30,690",High(<75%)
1825,Edward,656147,1,35,M,Married,"4,11,319",High(<75%)
1826,Estefania,656665,2,18,F,Divorced,"1,23,386",High(<75%)
1827,Clifton,657150,2,46,M,Never Married,"5,57,449",High(<75%)
1828,Hailie,657426,2,29,M,Married,"4,75,571",High(<75%)
1829,Adrienne,658117,6,22,M,Never Married,"2,96,735",High(<75%)
1830,Hayden,658145,4,60,M,Married,"69,685",High(<75%)
1831,Alex,658472,5,46,F,Married,"1,00,550",High(<75%)
1832,Alfonso,660166,4,69,M,Married,"4,83,739",High(<75%)
1833,Janiya,660299,7,48,F,Married,"3,69,767",High(<75%)
1834,Johnny,660306,5,65,M,Divorced,"4,98,166",High(<75%)
1835,Darius,660310,2,63,M,Married,"3,05,699",High(<75%)
1836,Caroline,660493,2,45,M,Divorced,"7,11,002",High(<75%)
1837,Abraham,660776,9,23,F,Married,"5,02,405",High(<75%)
1838,Joey ,660782,4,19,M,Never Married,"1,21,705",High(<75%)
1839,Alec,661284,3,24,M,Married,"3,07,820",High(<75%)
1840,Essence,661464,2,31,M,Married,"9,94,659",High(<75%)
1841,Bianca,661933,5,24,M,Married,"4,74,363",High(<75%)
1842,Colleen,661979,7,54,M,Never Married,"2,01,275",High(<75%)
1843,Cristian,662039,4,24,M,Never Married,"3,53,697",High(<75%)
1844,Guillermo,662505,4,32,M,Never Married,"8,98,972",High(<75%)
1845,Daquan,662844,3,24,M,Married,"3,41,096",High(<75%)
1846,Elena,662855,5,35,F,Married,"6,03,970",High(<75%)
1847,Garett,663382,2,43,M,Never Married,"4,88,856",High(<75%)
1848,Carter,664083,5,54,M,Never Married,"4,41,173",High(<75%)
1849,Desirae,664217,2,19,F,Married,"1,67,586",High(<75%)
1850,Charlie,664260,6,59,M,Married,"7,87,566",High(<75%)
1851,Casey,664821,5,54,F,Married,"9,57,488",High(<75%)
1852,Jay,664851,5,60,M,Married,"3,56,364",High(<75%)
1853,Brice,665635,4,60,F,Never Married,"2,36,535",High(<75%)
1854,Emely,665865,5,19,F,Married,"1,41,644",High(<75%)
1855,David,666033,7,27,M,Divorced,"5,37,088",High(<75%)
1856,Jillian,666069,4,38,M,Married,"9,17,659",High(<75%)
1857,Brock,666233,1,32,M,Never Married,"9,33,664",High(<75%)
1858,Johan,666363,4,43,F,Married,"4,16,149",High(<75%)
1859,Ari,667576,5,56,M,Married,"8,61,739",High(<75%)
1860,Jaliyah,667602,2,18,M,Never Married,"3,59,716",High(<75%)
1861,Beatriz,667720,1,54,F,Married,"8,84,569",High(<75%)
1862,Estevan,667924,3,55,F,Married,"4,80,195",High(<75%)
1863,Braxton,668013,7,69,M,Married,"2,49,778",High(<75%)
1864,Bethany,669298,6,30,M,Married,"3,49,312",High(<75%)
1865,Jaquez,669320,8,56,M,Married,"1,51,487",High(<75%)
1866,Jenny,669681,4,64,M,Divorced,"9,84,317",High(<75%)
1867,Devon,670218,4,63,M,Never Married,"7,50,566",High(<75%)
1868,Harry,670322,4,19,F,Divorced,"2,07,889",High(<75%)
1869,Jerry,670433,9,60,F,Married,"8,82,743",High(<75%)
1870,Danna,670746,5,35,M,Never Married,"9,04,660",High(<75%)
1871,Jaclyn,670909,10,32,F,Married,"8,95,995",High(<75%)
1872,Halle,670961,3,57,M,Married,"1,98,192",High(<75%)
1873,Jaydon,671710,5,66,M,Married,"8,41,945",High(<75%)
1874,Dominik,671725,5,32,M,Married,"56,700",High(<75%)
1875,Cali,672063,2,23,M,Never Married,"4,37,421",High(<75%)
1876,Bilal,672201,3,40,F,Never Married,"3,04,868",High(<75%)
1877,Cara,672684,8,52,M,Divorced,"1,56,599",High(<75%)
1878,Justus,672996,2,23,M,Married,"5,90,781",High(<75%)
1879,Alexis,673083,3,66,M,Married,"6,95,944",High(<75%)
1880,Akira,673089,3,26,M,Divorced,"7,16,940",High(<75%)
1881,Josiah,673369,3,37,M,Never Married,"6,18,189",High(<75%)
1882,Jon,673388,10,36,M,Never Married,"8,99,721",High(<75%)
1883,Devonte,673718,2,53,F,Married,"4,65,939",High(<75%)
1884,Heath,674287,4,49,M,Never Married,"2,71,209",High(<75%)
1885,Alvin,674541,5,22,M,Divorced,"1,73,270",High(<75%)
1886,Antonio,675373,3,61,M,Married,"56,707",High(<75%)
1887,Abraham,675494,2,42,M,Never Married,"8,70,985",High(<75%)
1888,Alonzo,675761,4,54,M,Married,"7,12,318",High(<75%)
1889,Douglas,676862,9,45,F,Married,"5,90,969",High(<75%)
1890,Aja,677484,8,59,M,Married,"3,03,672",High(<75%)
1891,Brad,678181,9,52,F,Married,"8,81,819",High(<75%)
1892,Janae,678243,3,69,M,Married,"92,633",High(<75%)
1893,Connor,678344,3,65,M,Married,"85,664",High(<75%)
1894,Gael,679132,3,19,M,Married,"9,55,764",High(<75%)
1895,Ben,679153,4,51,F,Never Married,"9,20,113",High(<75%)
1896,Darby,679337,2,53,M,Never Married,"3,14,410",High(<75%)
1897,Jerome,679566,5,32,M,Married,"5,30,368",High(<75%)
1898,Estrella,679612,4,61,M,Married,"4,02,669",High(<75%)
1899,Amari,679661,5,29,F,Married,"7,42,201",High(<75%)
1900,Abram,679694,2,45,M,Divorced,"7,60,416",High(<75%)
1901,Callie,679828,3,26,M,Married,"3,57,615",High(<75%)
1902,Cristian,679981,8,51,F,Married,"7,35,271",High(<75%)
1903,Cheyenne,680067,4,68,M,Divorced,"9,93,043",High(<75%)
1904,Joselyn,680751,3,49,M,Never Married,"5,50,910",High(<75%)
1905,Elle,681101,4,31,F,Never Married,"7,37,119",High(<75%)
1906,Emilio,681787,8,24,M,Never Married,"1,04,542",High(<75%)
1907,Camille,682829,8,20,M,Never Married,"1,85,508",High(<75%)
1908,Alena,683027,5,30,M,Married,"51,774",High(<75%)
1909,Anderson,683424,6,57,F,Never Married,"8,84,474",High(<75%)
1910,Guadalupe,683575,4,36,M,Married,"2,02,816",High(<75%)
1911,Andre,683628,8,42,M,Never Married,"7,23,828",High(<75%)
1912,Harley,683794,4,46,M,Married,"1,69,187",High(<75%)
1913,Alexandre,683906,3,47,F,Never Married,"3,11,006",High(<75%)
1914,Coleman,684682,5,64,F,Married,"8,34,944",High(<75%)
1915,Felicity ,685067,3,65,M,Divorced,"1,85,124",High(<75%)
1916,Jenifer,685858,8,32,F,Married,"2,70,518",High(<75%)
1917,Deanna,685924,2,66,M,Never Married,"9,71,659",High(<75%)
1918,Joy ,686766,7,69,F,Never Married,"1,71,625",High(<75%)
1919,Deandre,686832,3,46,F,Divorced,"9,09,474",High(<75%)
1920,Ezra,687209,2,46,M,Never Married,"1,85,268",High(<75%)
1921,Guillermo,687497,2,21,F,Never Married,"4,70,072",High(<75%)
1922,Breana,687835,3,54,M,Married,"6,76,569",High(<75%)
1923,Jace,688164,2,65,F,Never Married,"3,00,993",High(<75%)
1924,Dennis,688267,4,58,F,Married,"8,62,042",High(<75%)
1925,Garett,688548,4,63,M,Married,"7,32,826",High(<75%)
1926,Gilbert,688735,2,34,F,Divorced,"5,74,625",High(<75%)
1927,Jamel,689037,3,51,M,Divorced,"6,98,680",High(<75%)
1928,Jaquan,689813,7,38,F,Never Married,"2,56,768",High(<75%)
1929,Jane,690066,5,18,M,Married,"9,88,463",High(<75%)
1930,Juliet,690326,8,48,M,Divorced,"1,11,646",High(<75%)
1931,Giovanna,690669,2,22,M,Married,"1,40,733",High(<75%)
1932,Bryana,690682,3,51,M,Married,"3,34,498",High(<75%)
1933,Earl,690739,8,51,M,Married,"77,379",High(<75%)
1934,Francis,690864,5,44,M,Married,"6,24,318",High(<75%)
1935,Daryl,691022,1,57,M,Never Married,"5,88,933",High(<75%)
1936,Dominique,691325,2,46,F,Divorced,"3,42,041",High(<75%)
1937,Josiah,691630,4,19,F,Never Married,"4,38,808",High(<75%)
1938,Curtis,691882,5,41,M,Married,"1,03,248",High(<75%)
1939,Celina,691893,3,46,M,Never Married,"8,54,209",High(<75%)
1940,Alexandrea,692300,10,26,M,Never Married,"56,880",High(<75%)
1941,Jermaine,692790,2,25,M,Never Married,"4,62,544",High(<75%)
1942,Franklin,692971,6,59,M,Married,"8,81,682",High(<75%)
1943,Adan,693054,5,51,M,Married,"1,99,291",High(<75%)
1944,Jazmine,693359,1,26,M,Married,"7,45,125",High(<75%)
1945,Addison,693623,8,37,M,Married,"2,90,958",High(<75%)
1946,Jamie,693637,4,36,M,Never Married,"3,06,701",High(<75%)
1947,Justice,693681,2,58,M,Never Married,"3,95,186",High(<75%)
1948,Bailey,694148,3,45,M,Divorced,"4,63,801",High(<75%)
1949,Ariel,694206,3,44,M,Married,"9,81,292",High(<75%)
1950,Ahmad,694502,3,53,F,Married,"8,19,563",High(<75%)
1951,Hailee,694802,7,66,F,Never Married,"4,83,272",High(<75%)
1952,Isabell,697573,2,56,M,Divorced,"6,53,303",High(<75%)
1953,Alexus,698094,3,27,F,Never Married,"7,10,939",High(<75%)
1954,Immanuel,698165,7,36,F,Married,"7,49,030",High(<75%)
1955,Ahmed,698645,3,43,M,Married,"8,19,168",High(<75%)
1956,Elmer,699617,3,70,F,Married,"6,63,797",High(<75%)
1957,Donna,699761,2,59,F,Never Married,"6,80,602",High(<75%)
1958,Jadon,699795,2,50,F,Never Married,"1,46,165",High(<75%)
1959,Jonah,699898,4,68,M,Married,"4,28,138",High(<75%)
1960,Erica,700315,9,47,M,Married,"5,09,051",High(<75%)
1961,Blanca,700670,4,46,M,Divorced,"8,26,857",High(<75%)
1962,Brent,700830,6,57,M,Married,"2,11,299",High(<75%)
1963,Clifford,700915,1,44,F,Divorced,"2,25,892",High(<75%)
1964,Jagger,701372,4,30,M,Never Married,"1,01,950",High(<75%)
1965,Cristal,701412,7,24,F,Never Married,"9,63,074",High(<75%)
1966,Casandra,701465,5,57,M,Divorced,"8,44,035",High(<75%)
1967,Anton,701474,6,44,M,Married,"3,96,321",High(<75%)
